user_id,type,subtype,start_posix,end_posix
user_179,ACTIVITY,HOME,2021-04-26T10:55:30Z,2021-04-26T23:59:59Z
user_179,ACTIVITY,HOME,2021-04-27T00:00:00Z,2021-04-27T11:40:00Z
user_179,TRIP,CAR,2021-04-27T11:40:00Z,2021-04-27T11:52:00Z
user_179,ACTIVITY,PERSONAL_BUSINESS,2021-04-27T11:52:00Z,2021-04-27T12:32:30Z
user_179,TRIP,CAR,2021-04-27T12:32:30Z,2021-04-27T12:39:00Z
user_179,ACTIVITY,HOME,2021-04-27T12:39:00Z,2021-04-27T23:59:59Z
user_179,ACTIVITY,HOME,2021-04-28T00:00:00Z,2021-04-28T06:18:00Z
user_179,TRIP,CAR,2021-04-28T06:18:00Z,2021-04-28T06:29:30Z
user_179,ACTIVITY,LEISURE_RECREATION,2021-04-28T06:29:30Z,2021-04-28T07:13:30Z
user_179,TRIP,CAR,2021-04-28T07:13:30Z,2021-04-28T07:19:30Z
user_179,ACTIVITY,EAT_OUT,2021-04-28T07:19:30Z,2021-04-28T07:32:00Z
user_179,TRIP,CAR,2021-04-28T07:32:00Z,2021-04-28T07:37:30Z
user_179,ACTIVITY,HOME,2021-04-28T07:37:30Z,2021-04-28T19:00:30Z
user_179,TRIP,WALK,2021-04-28T19:00:30Z,2021-04-28T19:13:00Z
user_179,ACTIVITY,EAT_OUT,2021-04-28T19:13:00Z,2021-04-28T19:42:30Z
user_179,TRIP,WALK,2021-04-28T19:42:30Z,2021-04-28T19:59:30Z
user_179,ACTIVITY,EAT_OUT,2021-04-28T19:59:30Z,2021-04-28T21:11:00Z
user_179,TRIP,WALK,2021-04-28T21:11:00Z,2021-04-28T21:23:30Z
user_179,ACTIVITY,HOME,2021-04-28T21:36:00Z,2021-04-28T23:59:59Z
user_179,ACTIVITY,HOME,2021-04-29T00:00:00Z,2021-04-29T06:17:00Z
user_179,TRIP,CAR,2021-04-29T06:17:00Z,2021-04-29T06:27:30Z
user_179,ACTIVITY,LEISURE_RECREATION,2021-04-29T06:27:30Z,2021-04-29T07:22:00Z
user_179,TRIP,CAR,2021-04-29T07:22:00Z,2021-04-29T07:32:30Z
user_179,ACTIVITY,HOME,2021-04-29T07:32:30Z,2021-04-29T22:14:00Z
user_179,ACTIVITY,HOME,2021-04-29T22:40:00Z,2021-04-29T23:59:59Z
user_179,ACTIVITY,HOME,2021-04-30T00:00:00Z,2021-04-30T09:22:30Z
user_179,TRIP,CAR,2021-04-30T09:22:30Z,2021-04-30T09:42:00Z
user_179,ACTIVITY,PERSONAL_BUSINESS,2021-04-30T09:42:00Z,2021-04-30T10:12:30Z
user_179,TRIP,CAR,2021-04-30T10:12:30Z,2021-04-30T10:27:00Z
user_179,ACTIVITY,PERSONAL_BUSINESS,2021-04-30T10:27:00Z,2021-04-30T11:43:30Z
user_179,TRIP,CAR,2021-04-30T11:43:30Z,2021-04-30T12:07:30Z
user_179,ACTIVITY,HOME,2021-04-30T12:07:30Z,2021-04-30T16:46:00Z
user_179,TRIP,CAR,2021-04-30T16:46:00Z,2021-04-30T17:06:00Z
user_179,ACTIVITY,PERSONAL_BUSINESS,2021-04-30T17:06:00Z,2021-04-30T17:18:00Z
user_179,TRIP,CAR,2021-04-30T17:18:00Z,2021-04-30T17:37:00Z
user_179,ACTIVITY,HOME,2021-04-30T17:37:00Z,2021-04-30T23:59:59Z
user_179,ACTIVITY,HOME,2021-05-01T00:00:00Z,2021-05-01T10:29:30Z
user_179,TRIP,CAR,2021-05-01T10:29:30Z,2021-05-01T10:53:00Z
user_179,ACTIVITY,SHOP,2021-05-01T10:53:00Z,2021-05-01T11:07:00Z
user_179,TRIP,CAR,2021-05-01T11:07:00Z,2021-05-01T11:12:30Z
user_179,ACTIVITY,SHOP,2021-05-01T11:12:30Z,2021-05-01T11:47:30Z
user_179,TRIP,CAR,2021-05-01T11:47:30Z,2021-05-01T12:04:30Z
user_179,ACTIVITY,SHOP,2021-05-01T12:04:30Z,2021-05-01T12:29:00Z
user_179,TRIP,CAR,2021-05-01T12:29:00Z,2021-05-01T12:43:00Z
user_179,ACTIVITY,EAT_OUT,2021-05-01T12:43:00Z,2021-05-01T13:50:00Z
user_179,TRIP,CAR,2021-05-01T13:50:00Z,2021-05-01T13:59:00Z
user_179,ACTIVITY,HOME,2021-05-01T13:59:00Z,2021-05-01T15:35:00Z
user_179,TRIP,CAR,2021-05-01T15:35:00Z,2021-05-01T15:57:00Z
user_179,ACTIVITY,LEISURE_RECREATION,2021-05-01T15:57:00Z,2021-05-01T15:58:30Z
user_179,TRIP,WALK,2021-05-01T15:58:30Z,2021-05-01T17:01:30Z
user_179,TRIP,CAR,2021-05-01T17:01:30Z,2021-05-01T17:21:30Z
user_179,ACTIVITY,SHOP,2021-05-01T17:21:30Z,2021-05-01T17:37:00Z
user_179,TRIP,CAR,2021-05-01T17:37:00Z,2021-05-01T17:46:00Z
user_179,ACTIVITY,HOME,2021-05-01T17:46:00Z,2021-05-01T23:59:59Z
user_179,ACTIVITY,HOME,2021-05-02T00:00:00Z,2021-05-02T10:27:30Z
user_179,ACTIVITY,HOME,2021-05-02T19:27:30Z,2021-05-02T23:59:59Z
user_179,ACTIVITY,HOME,2021-05-03T00:00:00Z,2021-05-03T06:18:30Z
user_179,TRIP,CAR,2021-05-03T06:18:30Z,2021-05-03T06:28:30Z
user_179,ACTIVITY,LEISURE_RECREATION,2021-05-03T06:28:30Z,2021-05-03T07:14:00Z
user_179,TRIP,CAR,2021-05-03T07:14:00Z,2021-05-03T07:23:30Z
user_179,ACTIVITY,HOME,2021-05-03T07:23:30Z,2021-05-03T23:59:59Z
user_179,ACTIVITY,HOME,2021-05-04T00:00:00Z,2021-05-04T21:36:30Z
user_179,TRIP,WALK,2021-05-04T21:36:30Z,2021-05-04T21:45:30Z
user_179,ACTIVITY,HOME,2021-05-04T21:45:30Z,2021-05-04T23:59:59Z
user_179,ACTIVITY,HOME,2021-05-05T00:00:00Z,2021-05-05T06:15:00Z
user_179,TRIP,CAR,2021-05-05T06:15:00Z,2021-05-05T06:27:30Z
user_179,ACTIVITY,LEISURE_RECREATION,2021-05-05T06:27:30Z,2021-05-05T07:19:00Z
user_179,TRIP,CAR,2021-05-05T07:19:00Z,2021-05-05T07:24:30Z
user_179,ACTIVITY,EAT_OUT,2021-05-05T07:24:30Z,2021-05-05T07:32:30Z
user_179,TRIP,CAR,2021-05-05T07:32:30Z,2021-05-05T07:39:30Z
user_179,ACTIVITY,HOME,2021-05-05T07:39:30Z,2021-05-05T09:51:00Z
user_179,ACTIVITY,HOME,2021-05-05T09:58:30Z,2021-05-05T23:59:59Z
user_179,ACTIVITY,HOME,2021-05-06T00:00:00Z,2021-05-06T06:17:30Z
user_179,TRIP,CAR,2021-05-06T06:17:30Z,2021-05-06T06:26:00Z
user_179,ACTIVITY,LEISURE_RECREATION,2021-05-06T06:26:00Z,2021-05-06T07:15:00Z
user_179,TRIP,CAR,2021-05-06T07:15:00Z,2021-05-06T07:29:30Z
user_179,ACTIVITY,HOME,2021-05-06T07:29:30Z,2021-05-06T18:05:30Z
user_179,TRIP,WALK,2021-05-06T18:05:30Z,2021-05-06T18:08:30Z
user_179,ACTIVITY,LEISURE_RECREATION,2021-05-06T18:08:30Z,2021-05-06T18:35:00Z
user_179,TRIP,WALK,2021-05-06T18:35:00Z,2021-05-06T18:39:00Z
